Datetime,Tweet ID,Username,Text,Links,URL
2016-02-24 10:29:30+00:00,702440204280459264,only1weasel,Hack Attack on Department of Homeland Security - Information Security Buzz https://t.co/65jXx3ie28,https://lnkd.in/bjj_aqf,https://twitter.com/only1weasel/status/702440204280459264
2016-02-24 10:29:04+00:00,702440097707335681,Tier3huntsman,Hack Attack on Department of Homeland Security - Information Security Buzz https://t.co/8Xbhy3pLls,http://www.informationsecuritybuzz.com/hacker-news/hack-attack-on-department-of-homeland-security/,https://twitter.com/Tier3huntsman/status/702440097707335681
2016-02-22 09:21:02+00:00,701698200214888448,DDoSDom,US Department of Homeland Security Vows To Tackle DDoS Attacks - Hack Read - https://t.co/OQRE4wIXUR #DDoSMitigation  #DDoS,http://goo.gl/fL6oO7,https://twitter.com/DDoSDom/status/701698200214888448
2016-02-21 17:54:16+00:00,701464970433789952,skiddow_tw,US Department of Homeland Security Vows To Tackle DDoS Attacks - Hack Read https://t.co/8CnOzqhZrQ #DDoS,http://j.mp/1RgmarT,https://twitter.com/skiddow_tw/status/701464970433789952
2016-02-15 17:57:01+00:00,699291335120056320,beatsobeatles,"The 5th State"" plot:Apparently you can't hack into a government computer without the department of homeland security tattling to your mother",,https://twitter.com/beatsobeatles/status/699291335120056320
2016-02-15 10:44:00+00:00,699182362408554496,CyberSecDN,Hack Attack on Department of Homeland Security - https://t.co/OId5gFIiih https://t.co/Nm4n9MENlm via @Info_Sec_Buzz,http://www.informationsecuritybuzz.com/hacker-news/hack-attack-on-department-of-homeland-security/,https://twitter.com/CyberSecDN/status/699182362408554496
2016-02-13 20:50:48+00:00,698610296664018944,SharingMode,"US Justice, Homeland Security Department to Probe Employee Data Hack https://t.co/NsQh4BMLs4",http://goo.gl/fb/jhCY19,https://twitter.com/SharingMode/status/698610296664018944
2016-02-12 18:00:59+00:00,698205169822146560,Info_Sec_Buzz,Hack Attack on Department of Homeland Security - https://t.co/9agb45Km2L https://t.co/4JAeMhmezL,http://www.informationsecuritybuzz.com/hacker-news/hack-attack-on-department-of-homeland-security/,https://twitter.com/Info_Sec_Buzz/status/698205169822146560
2016-02-12 18:00:06+00:00,698204947331026946,arX_corp,Hack Attack on Department of Homeland Security https://t.co/FpwEAYfknQ,http://bit.ly/20QjsRL,https://twitter.com/arX_corp/status/698204947331026946
2016-02-12 13:01:04+00:00,698129692637982720,Info_Sec_Buzz,Hack Attack on Department of Homeland Security: https://t.co/9agb45Km2L @Tripwire @HuntsmanSecurity #cyberattacks #flawed #twitter #hacker,http://www.informationsecuritybuzz.com/hacker-news/hack-attack-on-department-of-homeland-security/,https://twitter.com/Info_Sec_Buzz/status/698129692637982720
2016-02-12 08:06:01+00:00,698055444527521793,Info_Sec_Buzz,Hack Attack on Department of Homeland Security: https://t.co/9agb45Km2L @Tripwire @HuntsmanSecurity #cyberattacks #flawed #twitter #hacker,http://www.informationsecuritybuzz.com/hacker-news/hack-attack-on-department-of-homeland-security/,https://twitter.com/Info_Sec_Buzz/status/698055444527521793
2016-02-12 07:06:32+00:00,698040472640561152,ElShaheen,rt estaz_: Hack Attack on Department of Homeland Security https://t.co/Ho3VPl5wFl #infosec,http://bit.ly/1o4WXXo,https://twitter.com/ElShaheen/status/698040472640561152
2016-02-12 06:52:48+00:00,698037018979405824,ebenussi,Hack Attack on Department of Homeland Security https://t.co/HmMhBL1Rw5 https://t.co/brT4b3OiP2,http://ift.tt/1O63KFo,https://twitter.com/ebenussi/status/698037018979405824
2016-02-12 06:37:31+00:00,698033170684514304,estaz_,Hack Attack on Department of Homeland Security https://t.co/tHATcFWZpM #infosec,http://bit.ly/1o4WXXo,https://twitter.com/estaz_/status/698033170684514304
2016-02-12 05:00:41+00:00,698008801182519297,infosecpi,Hack Attack on Department of Homeland Security https://t.co/wUVgLQ10hW #infosec,http://bit.ly/1o4WXXo,https://twitter.com/infosecpi/status/698008801182519297
2016-02-12 03:20:09+00:00,697983502113992706,SWIMedge,The FBI and Department of Homeland Security suffered a data breach. Was the hack polictially motivated? https://t.co/rjhk4zZXAu,http://bit.ly/1KISMLf,https://twitter.com/SWIMedge/status/697983502113992706
2016-02-11 08:43:08+00:00,697702394939973632,SWIMedge,The FBI and Department of Homeland Security suffered a data breach. Was the hack polictially motivated? https://t.co/N9TLYeOyHh,http://bit.ly/1QrYyxo,https://twitter.com/SWIMedge/status/697702394939973632
2016-02-10 09:33:08+00:00,697352590221295621,SWIMedge,The FBI and Department of Homeland Security suffered a data breach. Was the hack polictially motivated? https://t.co/ralmNeIlfa,http://bit.ly/1PMs4Sp,https://twitter.com/SWIMedge/status/697352590221295621
2016-02-10 08:14:52+00:00,697332894218457089,ACUTEC_UK,Hack on Department of Justice and Homeland Security downplayed. https://t.co/FYsoOUyjM9 #tech #Cybercrime https://t.co/8QTwq39ngy,http://bbc.co.uk/news/technology-35529659,https://twitter.com/ACUTEC_UK/status/697332894218457089
2016-02-09 23:03:57+00:00,697194250476220416,NorthAmericaNN,"Department of Justice, Homeland Security probe hack of DHS, FBI employee data https://t.co/RYKs54midJ #NBC #News",http://nbcnews.to/1PMl0VU,https://twitter.com/NorthAmericaNN/status/697194250476220416
2016-02-09 22:22:35+00:00,697183839467270144,solomonquansah,"Department of Justice, Homeland Security probe hack of DHS, FBI employee data https://t.co/8hS1TMZT2E https://t.co/3dfx6lMvme",http://nbcnews.to/1PMl0VU,https://twitter.com/solomonquansah/status/697183839467270144
2016-02-09 19:15:08+00:00,697136669103931392,NBCNews,"Department of Justice, Homeland Security probe hack of DHS, FBI employee data https://t.co/9bcSR1h30P https://t.co/S6HgNy36Dr",http://nbcnews.to/1PMl0VU,https://twitter.com/NBCNews/status/697136669103931392
2016-02-09 16:49:13+00:00,697099945749262336,Atch_Media,"Justice, Homeland Security Probe Hack of DHS, FBI Employee Data: The U.S. Department of Homeland Security and ... https://t.co/lBxYOOF80R",http://jftb.a.boysofts.com/REg,https://twitter.com/Atch_Media/status/697099945749262336
