Datetime,Tweet ID,Username,Text,Links,URL
2021-01-08 18:33:13+00:00,1347612337189122052,asebenius,"Solarwinds has turned to Chris Krebs -- the former DHS cyber lead who Trump fired after the Nov. vote --  and former Facebook CSO Alex Stamos for security advising after suspected Russian hackers compromised its software to hack US agencies + companies.
https://t.co/TSmqi34zbQ",https://www.bloomberg.com/news/articles/2021-01-08/solarwinds-taps-krebs-stamos-to-help-investigate-hack?sref=L8bItHjn,https://twitter.com/asebenius/status/1347612337189122052
2021-01-03 01:28:53+00:00,1345542618558722049,TeamTPI,@BetoORourke Is that the same DHS that weeks later had the biggest cyber hack in the history of our country?  He already clarified saying he didn’t think outsiders interfered... coincidently neither do we..#insidejob dummy,,https://twitter.com/TeamTPI/status/1345542618558722049
2020-12-28 15:29:35+00:00,1343579858551640065,Infosec_Tourist,@jack_daniel @hacks4pancakes I believe the term really became common usage after some DHS cyber Czar who was ex-military pushed it after some major hack(s) -pre OPM. Even at the time he emphasized that it was to address the 80% of attacks caused by low hanging fruit and was insufficient for targeted attacks.,,https://twitter.com/Infosec_Tourist/status/1343579858551640065
2020-12-28 06:38:22+00:00,1343446175622586369,jmorrash1,"@MichaelBLamoth1 @HerschelWalker @SidneyPowell1 Is that the same DHS CISA director who was in charge while the greatest computer systems hack and act of cyber espionage occurred against the U.S. Govt. right undr his very nose? He's the same guy, Krebs, that declared it to be the most secure election in history, that guy? Ok..",,https://twitter.com/jmorrash1/status/1343446175622586369
2020-12-25 23:23:21+00:00,1342611923582390273,realCoyotay,"Everything going on right now with the cyber war, the emphasis on DoE hack, companies that make tech for DHS, etc-

I'm curious if this was an attack on critical infrastructure. Maybe a test. Look at the cell carriers. #Nashville #nashvillebombing #nashvilleexplosion https://t.co/JOihPUOcqE",,https://twitter.com/realCoyotay/status/1342611923582390273
2020-12-24 21:41:29+00:00,1342223896984965120,Open_Demo,"@DHS_Wolf @MITREcorp Any comment about the Russian cyber hack? Or being in your position illegally? Maybe the ongoing coup attempt? 

No.",,https://twitter.com/Open_Demo/status/1342223896984965120
2020-12-21 21:40:25+00:00,1341136466462666753,Open_Demo,"@DHS_Wolf You and your storm troopers played ""totalitarian aggression"". You and Trump whitewashed Russia in the latest cyber hack. The sooner you're out, the sooner we can repair our security structures.",,https://twitter.com/Open_Demo/status/1341136466462666753
2020-12-20 21:11:22+00:00,1340766767656955909,PDubs80,"It all makes so much sense.  When you take the side of Russia over your own FBI, CIA &amp; DHS with at least 3 prominent events involving Russian interference (election, bounties &amp; cyber hack), it makes it pretty clear that Trump is in bed with Putin for personal monetary reasons. https://t.co/4E8XPS8aor",https://twitter.com/MeidasTouch/status/1340750007415185408,https://twitter.com/PDubs80/status/1340766767656955909
2020-12-20 19:18:16+00:00,1340738305827205121,jeremybob1,"DANGER: Trump's latest contradicting Pompeo+his own cyber,law enforcement officials that RUSSIA isnt behind current mega hack of the Pentagon, DHS, nuke agencies,etc is DANGEROUS even if he did good job against Russia in 2018 election. Must name to defend: https://t.co/4l07juB25Z",https://www.jpost.com/american-politics/trumps-bizarre-defense-of-russian-hacks-becomes-dangerous-comment-652730,https://twitter.com/jeremybob1/status/1340738305827205121
2020-12-19 14:48:49+00:00,1340308110167183360,wyciwug_kaana1,"@TwitterMoments @realDonaldTrump Talk about the solarwinds hack! What is at risk, how deep did the Russians get , what is at stake.. don’t fire any more of these cyber/ DHS. While you twitted Russia was all in. Spend the best 20 days making sure this loophole never exists.",,https://twitter.com/wyciwug_kaana1/status/1340308110167183360
