Datetime,Tweet ID,Username,Text,Links,URL
2021-01-06 00:56:20+00:00,1346621590210019328,skalvord,"The cyber attack worse than tought. It also installed malware. It's thruout the fortune 500, nuclear industry, Pentagon, homeland security, NIH, most all who had computers were hacked. #cybersecurity #cyberhack #russia https://t.co/SIeQF3Icfu",https://www.zdnet.com/article/solarwinds-the-more-we-learn-the-worse-it-looks/,https://twitter.com/skalvord/status/1346621590210019328
2021-01-04 09:04:20+00:00,1346019621124583426,mizzunky,"@chrismartenson The CDC, NIH, FDA, &amp; DHHS didn’t fail to plan, they planned to fail. I’m sure it won’t be the last time, either. Bird Flu. EMP. Power grid cyber attack by ‘Russia’-?—gimme a break—they have no motive. Nor does NoKo, Iran. It’s all about forcing the great reset/4IR up our butts.",,https://twitter.com/mizzunky/status/1346019621124583426
2020-12-24 00:21:52+00:00,1341901874576973824,nascardad50,"Sends Russians to American community colleges for a “gap year” (State): $3,250,000 (After a cyber attack???)Testing if hot tubbing can lower stress (NIH): $2,004,704. But you won't get enough to cover a month's rent. https://t.co/GhwZHuBFc3 via @BreitbartNews",https://www.breitbart.com/politics/2020/12/23/rand-paul-releases-festivus-list-grievances-detailing-54b-government-waste/,https://twitter.com/nascardad50/status/1341901874576973824
2020-12-23 00:05:23+00:00,1341535336183283713,WheezyNC,"@RoyBlunt @NIH Silent on Sedition plots in the White House
Silent on Russian cyber attack
Silent on US election result
Trump Senate Cowardice
25th Amendment time",,https://twitter.com/WheezyNC/status/1341535336183283713
2020-12-22 21:12:30+00:00,1341491829322227712,WheezyNC,"@RoyBlunt @NIH Blunt
Silent on Sedition plots in the White House
Silent on Russian cyber attack
Silent on US election result
Trump Senate Cowardice",,https://twitter.com/WheezyNC/status/1341491829322227712
2020-12-18 20:38:59+00:00,1340033843026415618,Bloominglately1,"@IsaacDovere @YohannesAbraham This is very ominous. In the midst of discovering a huge Russian cyberattack on DHS, Pentagon, State Dept, NIH, CISA, and Depts. of Treasury and Commerce, the ""acting"" Secretary of Defense decides to stop providing security info. to the Biden transition team for 2 weeks. Why?",,https://twitter.com/Bloominglately1/status/1340033843026415618
2020-12-18 20:33:56+00:00,1340032571149848576,marcgregari,"victims of the Dec 14, 2020, SolarWinds cyberattack/data breach:

-US Agriculture
-US Commerce
     +Telecoms 
-US DoD
     +Pentagon
-US Energy 
     +Nuclear Security Admin
-US NIH
-US DHS
     +CISA 
-US DOS
-US Treasury",,https://twitter.com/marcgregari/status/1340032571149848576
2020-12-18 14:28:51+00:00,1339940695205789696,britter,"""These compromises are not self-propagating; each of the attacks require meticulous planning and manual interaction.""

TL;DR: Commerce, Homeland Security, the Pentagon, Treasury, USPS, NIH, and Energy have all confirmed a cyberattack on their systems. https://t.co/tpEwP0BmK5",https://twitter.com/NPR/status/1339791513522483200,https://twitter.com/britter/status/1339940695205789696
2020-12-18 12:49:46+00:00,1339915759703605253,ArthurVallejomd,"@ChidiNwatu @realDonaldTrump Not to mention the catastrophic cyber attack on NSA,NIH, DHS, etc., by a foreign adversary which was made much worse by a complete absence of responsible leadership in the White House.",,https://twitter.com/ArthurVallejomd/status/1339915759703605253
2020-12-18 03:02:26+00:00,1339767953907179520,FrankiB,"@realDonaldTrump ME! ME! ME!
Another tweet that proves Trump cares nothing about the country, and only himself. 
How about you talk about the actual #stolen data that #Russia took from the Treasury, NIH, Homeland Security, Commerce, the State Department etc ..........?

#CyberAttack #TrumpFail",,https://twitter.com/FrankiB/status/1339767953907179520
2020-12-18 02:03:24+00:00,1339753098898771969,Sonar706,"Why is this not a much bigger story? The list affected by Russian cyber attack includes critical government entities: DHS, The Pentagon, Depts. of Commerce, Treasury, USPS, and NIH. WTF?!?
https://t.co/biaTyWl8JB",https://www.npr.org/2020/12/15/946776718/u-s-scrambles-to-understand-major-computer-hack-but-says-little,https://twitter.com/Sonar706/status/1339753098898771969
2020-12-17 22:49:16+00:00,1339704241397612544,odeclan14,@RoyBlunt @SenAlexander @NIH @US_FDA Russia launches a cyber attack and the cowardly puppet of Putin is silent He refuses to say anything because he is being blackmailed and he is a traitor and the obedient Nazis in the @gop are silent - #Racistcowards,,https://twitter.com/odeclan14/status/1339704241397612544
2020-12-17 06:55:03+00:00,1339464105233534978,bradbonomo,"@Wikipedia page on the 2020 United States federal government #DataBreach

#Solarwinds #SolarWindsOrion #Sunburst #CozyBear #USPentagon #StateDepartment #DHS #NIH #Treasury #Malware #Trojan #CyberAttack #FireEye #NTIA #Microsoft #APT29 #UNC2452 #SVR #NATO 

https://t.co/eKzFEn5ZEY",https://en.wikipedia.org/wiki/2020_United_States_federal_government_data_breach,https://twitter.com/bradbonomo/status/1339464105233534978
