Datetime,Tweet ID,Username,Text,Links,URL
2021-01-08 15:37:07+00:00,1347568019136983040,Felicidad281,"@ElsaInCa @a_standal @lian_yamouer @2Prettie2Work @MuellerSheWrote And Trump and his sycophants didn’t stop it, meaning he allowed it to happen. IMO Thus soon after the firing of Cyber security tech Chris Krebs, treasury hack attack.",,https://twitter.com/Felicidad281/status/1347568019136983040
2021-01-06 13:01:35+00:00,1346804102542589952,ayokasystems,"The FBI and NSA stated that the current hacks at US federal agencies are likely from Russians. Some agencies hacked include the Treasury, State and Energy departments. #Energy #Treasury #State #hacked #hack #cybersecurity #cyber #US #FBI #NSA #USA #Russia
https://t.co/6y08X7SHO9",https://techcrunch.com/2021/01/05/fbi-nsa-says-hacks-on-us-federal-agencies-likely-russian-in-origin/,https://twitter.com/ayokasystems/status/1346804102542589952
2021-01-05 23:32:25+00:00,1346600471801319425,strickland_dane,"tRump has made America weak with his bullshit.. he may as well be a GRU operative...
""Departments penetrated in the hack include Defense, State, Homeland Security, Treasury, and Commerce and is considered the worst known cyber-compromise in recent history"" https://t.co/XNDH2dzaOn",https://twitter.com/AJENews/status/1346597944187891714,https://twitter.com/strickland_dane/status/1346600471801319425
2021-01-03 20:20:57+00:00,1345827511742021632,tccorb,"@realDonaldTrump @SenTedCruz @HawleyMO @Jim_Jordan @senatemajldr @GOPLeader Why have you not addressed or reacted to the Russian cyber hack of US Treasury, DoD and others? Some Commander On Chief...
I can't wait to learn what Putin has on you, and it will come out.",,https://twitter.com/tccorb/status/1345827511742021632
2021-01-01 16:02:58+00:00,1345037810760355842,n_ymiller,"@SecPompeo Ah yes. A cyber hack of the departments of Homeland Security, Commerce, Treasury, NIH &amp; State-undetected for 9 months. A raging pandemic with a botched vaccine rollout. Domestic terrorists blowing up city blocks on Christmas Day. So safe 🙄 https://t.co/cAcJSn3L06",,https://twitter.com/n_ymiller/status/1345037810760355842
2020-12-25 21:47:11+00:00,1342587720317640704,JenniePsyd,"@realDonaldTrump Btw... you’ve said nothing about the Russian Hack of our entire Cyber Government Infrastructure, that compromised DOD, NASA, Homeland, our Treasury &amp; Nuclear Arsenal Admin? You’ve said nothing about Nashville’s Bombing today? Did you set it up with Proud Boyz? Or your Blackwaters https://t.co/Sc0sG1vfiQ",,https://twitter.com/JenniePsyd/status/1342587720317640704
2020-12-25 15:47:03+00:00,1342497088735760385,CAPTRick74,"National (In) Security: Information Infrastructure and Cyber Warfare Edition - Treasury Inspector General: No Taxpayer Info Exposed in SolarWinds Hack ‘At This Time’ (The Epoch Times)

https://t.co/5TDlZsMQil",https://www.theepochtimes.com/treasury-inspector-general-no-taxpayer-info-exposed-in-solarwinds-hack-at-this-time_3632352.html,https://twitter.com/CAPTRick74/status/1342497088735760385
2020-12-24 16:46:32+00:00,1342149674052984834,FurlaneGrant,"U.S. Cyber Agency: #SolarWinds Attack Hitting Local Governments

The far-reaching SolarWinds hack has hit not only federal agencies such as the Department of the Treasury, but computer systems for local U.S. governments as well.
A…https://t.co/lPbKMjXpJt https://t.co/8Z0ZzYBquR",https://lnkd.in/giXdnqU https://lnkd.in/gX983nF,https://twitter.com/FurlaneGrant/status/1342149674052984834
2020-12-23 16:44:10+00:00,1341786687228309506,CryptoCSinc,White House acknowledges reports of cyber hack on US Treasury by foreign @adanielhill @darkwebtoday https://t.co/4GcHAzOMjh #uncategorized,https://xplosiveweb.com/xplosive/?p=31&utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,https://twitter.com/CryptoCSinc/status/1341786687228309506
2020-12-22 20:45:40+00:00,1341485074567585792,phinathome,"5) “According to Reuters, the elaborate cyber hack was launched on the Treasury Department as well as the Commerce Department’s National Telecommunications and Information Administration, or NTIA, a U.S. agency that is tasked with crafting internet and telecommunications policy.",,https://twitter.com/phinathome/status/1341485074567585792
2020-12-22 20:32:24+00:00,1341481738367868931,phinathome,"@AaronMotley10 @Speakup718 @MikeBalsamo1 4)  which broke the news Sunday, that allowed the snoops a foothold in customer networks and the ability, at the very least, to spy on emails. (Excerpt from Forbes. Article by Thomas Brewster.)

“According to Reuters, the elaborate cyber hack was launched on the Treasury",,https://twitter.com/phinathome/status/1341481738367868931
2020-12-22 19:50:40+00:00,1341471235641913344,phinathome,"@GordonGChang @BillHemmer @johnrobertsFox @FoxNews 3) to spy on emails. (Excerpt from Forbes. Article by Thomas Brewster.)
“According to Reuters, the elaborate cyber hack was launched on the Treasury Department as well as the Commerce Department’s National Telecommunications and Information Administration, or NTIA, a U.S. agency",,https://twitter.com/phinathome/status/1341471235641913344
2020-12-22 16:45:00+00:00,1341424509841117190,7NewsDC,"A US Senator is saying that dozens of Treasury Department email accounts have been compromised in latest cyber-hack.

MORE: https://t.co/RGpz4R0BTp",https://bit.ly/3h8gkMr,https://twitter.com/7NewsDC/status/1341424509841117190
