Datetime,Tweet ID,Username,Text,Links,URL
2014-06-11 14:37:26+00:00,476734960011730945,CyberPinguelo,New Report: Cost of Data Breaches on the Rise http://t.co/wG8gui0iol #dataprivacy #cybersecurity #cyber #cyberlawyer #databreach #ebay #hack,http://www.businesslawnews.com/new-report-cost-of-data-breaches-on-the-rise/,https://twitter.com/CyberPinguelo/status/476734960011730945
2014-05-31 20:45:13+00:00,472841251377532928,RecruitCyberDC,#eBay Hack Could Result in Social Engineering Schemes. #cyber #cybersecurity http://t.co/tmeDoviDtH via @TheCyberLoop,http://ow.ly/xewue,https://twitter.com/RecruitCyberDC/status/472841251377532928
2014-05-31 12:10:14+00:00,472711650328719360,TheCyberLoop,eBay Hack Could Result in Social Engineering Schemes. #cyber #cybersecurity http://t.co/FvPUsd6598,http://ow.ly/xewue,https://twitter.com/TheCyberLoop/status/472711650328719360
2014-05-28 20:49:53+00:00,471755261183799296,Airesidelife,The crime commissioner has highlighted the threat of cyber crime after the ebay hack. Stating the obvious your tax £ at work,,https://twitter.com/Airesidelife/status/471755261183799296
2014-05-28 07:30:24+00:00,471554064132870144,CyberSecInt,"CS-I News: Huge eBay Hack, US Indict Chinese Army, MH370 Mystery Deepens, NSA+Big Data= Fail. http://t.co/fcSEI6NHqH 
#MH370 #Snowden #Cyber",http://ow.ly/xjbXz,https://twitter.com/CyberSecInt/status/471554064132870144
2014-05-28 01:33:10+00:00,471464163827412992,cybfor,eBay Suffers Hack Attack: [http://t.co/bxzjhIf9NB] Need any more proof that #cyber #security is one of the... http://t.co/YyujBCmjaK,http://google.com http://dlvr.it/5p4fFt,https://twitter.com/cybfor/status/471464163827412992
2014-05-27 12:27:14+00:00,471266378096193536,vappelmans,#eBay : Potentially biggest #hack of all time -&gt; 233m customers' data vulnerable #cyber #security http://t.co/oManl7TdFT via @guardian,http://gu.com/p/3pfft/tw,https://twitter.com/vappelmans/status/471266378096193536
2014-05-27 10:28:10+00:00,471236410331398145,wibbef,"So, CNN had the cyber hack story last week; didn't get an email from @eBay until this morning #disappointing #disturbing",,https://twitter.com/wibbef/status/471236410331398145
2014-05-27 10:22:24+00:00,471234961362915328,Sec_Cyber,Shoppers slam eBay after hack attack http://t.co/2tbiHXFnw4 #cyber #security,http://bit.ly/TPz6wq,https://twitter.com/Sec_Cyber/status/471234961362915328
2014-05-27 03:54:55+00:00,471137447963664384,internetnews,"eBay Warns of Database Hack: A cyber-attack compromised an eBay database, although the company claims no finan... http://t.co/vv9NZ468NQ",http://bit.ly/1mivEC4,https://twitter.com/internetnews/status/471137447963664384
2014-05-24 23:17:06+00:00,470342756334714880,BeadArtist1,eBay kept massive cyber attack secret &amp; refuses to admit how long it kept quiet about the hack ~ http://t.co/kKlQQr59Gu,http://dailym.ai/Rk77CI,https://twitter.com/BeadArtist1/status/470342756334714880
2014-05-24 21:01:10+00:00,470308547776245760,SOFTSHELL,"Cyber security is important for many reasons, including Brand protection- ""The eBay Hack.."" http://t.co/RDy682o1a5 … via @Forbes",http://www.forbes.com/sites/patrickhanlon/2014/05/22/the-ebay-hack-they-havent-only-hacked-your-security-theyve-hacked-your-brand/?utm_campaign=forbestwittersf&utm_source=twitter&utm_medium=social,https://twitter.com/SOFTSHELL/status/470308547776245760
2014-05-24 02:02:06+00:00,470021893291253761,renebrad,"RT @PrivacyProf: States Launch Investigation into  #eBay #Hack http://t.co/5BZSIjJieb #breach &lt; ""exemplary"" cyber defenses failed",http://www.forbes.com/sites/ryanmac/2014/05/23/as-ebay-notifies-users-of-hack-states-launch-investigation/,https://twitter.com/renebrad/status/470021893291253761
2014-05-23 20:01:53+00:00,469931241190350849,Clearswift,#Cybersecurity expert @GuyBunker's top 5 things to after the #eBay #cyber #hack - managing user's risk! #cyberattack http://t.co/epDlvgyWuf,http://bit.ly/1jwDnha,https://twitter.com/Clearswift/status/469931241190350849
