Datetime,Tweet ID,Username,Text,Links,URL
2014-01-08 21:04:31+00:00,421024640798978048,BMEastwood,http://t.co/3ois7FSasQ Huge Target Stores Hack the Tip of the Cybersecurity Iceberg- #Target #cyber http://t.co/Q0llqBLdac,http://LIGNET.com http://www.lignet.com/ArticleAnalysis/Huge-Target-Store-Hack-the-Tip-of-the-Cybersecurit,https://twitter.com/BMEastwood/status/421024640798978048
2014-01-06 16:43:31+00:00,420234181814550528,BDOConsumer,Target loses traffic following cyber-security hack http://t.co/8C34l3old6,http://bit.ly/JWvhjx,https://twitter.com/BDOConsumer/status/420234181814550528
2014-01-05 16:09:03+00:00,419863119708442624,AlexPdeLeeuw,"Some more insight into the Target hack. 
'Cyber security is job number one, says Barclays CIO' - CIO UK http://t.co/NPHHUj7AAO via @ciouk",http://shar.es/94Q6w,https://twitter.com/AlexPdeLeeuw/status/419863119708442624
2014-01-05 10:39:44+00:00,419780244955201536,Sec_Cyber,Target hack exposes lagging card security http://t.co/aIf7aGF7rZ #cyber #security,http://bit.ly/1dD43tb,https://twitter.com/Sec_Cyber/status/419780244955201536
2013-12-31 00:10:04+00:00,417809844775575555,holgermu,#Target Hack: The growing lure of cyber theft requires change in #infosec paradigm @ConstellationRG https://t.co/YyrZcHmHsQ #idam #security,https://www.constellationr.com/content/roi-hacking-target-customers-cards,https://twitter.com/holgermu/status/417809844775575555
2013-12-30 18:52:44+00:00,417729987773353984,shskbob,"#Breaking #Target Stores post on their website, Debit Card Pin #'s stolen in the massive cyber hack. http://t.co/5wmCsqcfLi",,https://twitter.com/shskbob/status/417729987773353984
2013-12-30 17:20:13+00:00,417706704055197696,kiwigate,#Target Hack: The growing lure of cyber theft requires change in #infosec paradigm @ConstellationRG https://t.co/B9GYqpyNse #idam #security,https://www.constellationr.com/content/roi-hacking-target-customers-cards,https://twitter.com/kiwigate/status/417706704055197696
2013-12-30 15:35:46+00:00,417680417995501568,rwang0,@Target Hack: The growing lure of cyber theft requires change in #infosec paradigm @Steve_lockstep http://t.co/Z5yVzGrrMt #idam #security …,http://lnkd.in/bUkWpGm,https://twitter.com/rwang0/status/417680417995501568
2013-12-30 14:56:09+00:00,417670450462720000,SherrieCR,#Target Hack: The growing lure of cyber theft requires change in #infosec paradigm @ConstellationRG https://t.co/jgCqYtLxwW #idam #security,https://www.constellationr.com/content/roi-hacking-target-customers-cards,https://twitter.com/SherrieCR/status/417670450462720000
2013-12-30 14:32:23+00:00,417664465987854336,constellationr,#Target Hack: The growing lure of cyber theft requires change in #infosec paradigm @ConstellationRG https://t.co/wueCDUtATC #idam #security,https://www.constellationr.com/content/roi-hacking-target-customers-cards,https://twitter.com/constellationr/status/417664465987854336
2013-12-25 22:57:23+00:00,415979615371276289,Arkstorm2014,"I am guessing that this TARGET hack is an opening salvo in the ARkStorm/cyber attack that DHS warned us was coming. 

http://t.co/raWRek9BCB",http://www.torontosun.com/2013/12/24/target-hackers-stole-encrypted-bank-pins-source,https://twitter.com/Arkstorm2014/status/415979615371276289
2013-12-25 17:10:43+00:00,415892375974576128,Mr_KNE,@HuffingtonPost: Your worst fear about the Target hack may be true http://t.co/5rX33x1Gx7 &lt;Culture of cyber ignorance?,http://huff.to/1g16eXK,https://twitter.com/Mr_KNE/status/415892375974576128
2013-12-25 16:36:36+00:00,415883786707292160,infoseclegal,Via @HuffPostTech: The Target hack may be worse than you think http://t.co/Sbl4OcfyE2 #cyber #hacked,http://huff.to/1d8lTnz,https://twitter.com/infoseclegal/status/415883786707292160
2013-12-25 01:39:49+00:00,415658106052702208,Sec_Cyber,Target credit card hack: The latest http://t.co/E7Nq1akDWy #cyber #security,http://bit.ly/Jc1DGE,https://twitter.com/Sec_Cyber/status/415658106052702208
2013-12-21 15:26:46+00:00,414416662805614592,ProxyWonk,#cyber Target offers 10% discount after credit card hack - http://t.co/iLwg5X3Khi http://t.co/PMxBqFgJ14,http://fox6now.com http://ow.ly/2CjQ80,https://twitter.com/ProxyWonk/status/414416662805614592
2013-12-20 06:03:41+00:00,413912572199313409,rconspiracy,"Prediction: recent Target CC hack will be blamed on ""cyber terrorists"" http://t.co/yDKNqybTES",http://dlvr.it/4XwbbJ,https://twitter.com/rconspiracy/status/413912572199313409
2013-12-20 02:24:54+00:00,413857510542434304,lousecco,"@megynkelly @9P  Target hack is old trick. Secret Service hired a convicted hacker for the same cyber crime. He got paid, stole and gone.",,https://twitter.com/lousecco/status/413857510542434304
2013-12-20 00:35:57+00:00,413830091769384960,heylizelle,And then every retailer refocused their cyber security budget. Rightly so. Largest retail hack of all time via Target. 40 million affected,,https://twitter.com/heylizelle/status/413830091769384960
2013-12-19 23:56:42+00:00,413820215965671424,KDVR,LIVE CHAT at 5 pm with cyber security expert @charlestendell about Target credit card hack. Ask your questions here: http://t.co/thBRfi1n88,http://link.kdvr.com/JHrh66,https://twitter.com/KDVR/status/413820215965671424
