Datetime,Tweet ID,Username,Text,Links,URL
2016-03-05 20:32:37+00:00,706215862487879680,tiangao,Hack Brief: Hacker Leaks the Info of Thousands of FBI and DHS Employees https://t.co/GBjvUZ7Ech,http://bit.ly/1QcsNeA,https://twitter.com/tiangao/status/706215862487879680
2016-03-05 13:07:51+00:00,706103936374218752,Cecalli_Helper,US intelligence: Hack of Ukrainian power grid ‘highly sophisticated’ https://t.co/0wv7vsZL7f DHS DOE FBI Russia? #infosec #cyber #tech #sec,http://cyberwar.news/2016-03-04-u-s-intelligence-hack-of-ukrainian-power-grid-highly-sophisticated.html,https://twitter.com/Cecalli_Helper/status/706103936374218752
2016-03-04 06:39:14+00:00,705643749993353218,MeaganMacha,18F's procurement hack could guide DHS bug bounties -- FCW https://t.co/uITuJqjinC via @FCWnow,https://fcw.com/articles/2016/02/19/bug-bounty-noble.aspx?admgarea=TC_Policy,https://twitter.com/MeaganMacha/status/705643749993353218
2016-03-04 01:50:46+00:00,705571152014417920,digiratissimo,18F's procurement hack could guide DHS bug bounties https://t.co/9nTK7eSkPu,https://lnkd.in/eWTwJfD,https://twitter.com/digiratissimo/status/705571152014417920
2016-03-03 21:36:05+00:00,705507061023547392,tiangao,Hack Brief: Hacker Leaks the Info of Thousands of FBI and DHS Employees https://t.co/3MnFtVqC3r,http://bit.ly/1LknJWx,https://twitter.com/tiangao/status/705507061023547392
2016-03-03 12:10:49+00:00,705364807613091840,mysysusa,Implications of the DHS Alert on the Ukrainian Hack to US electric grids and nuclear plants https://t.co/RXn3UnALxZ,http://ow.ly/3bVhJN,https://twitter.com/mysysusa/status/705364807613091840
2016-03-03 06:44:04+00:00,705282576504614913,SellonVivian,"A 16-year-old boy living in England has been arrested in connection with the recent hack of FBI and DHS data, as well as the personal",,https://twitter.com/SellonVivian/status/705282576504614913
2016-03-02 20:55:49+00:00,705134540780605441,QuistElec,Implications of the DHS Alert on the Ukrainian Hack to US electric grids and nuclear plants https://t.co/Q667hPgugi,http://ow.ly/3bWjT6,https://twitter.com/QuistElec/status/705134540780605441
2016-03-02 10:30:22+00:00,704977140953919488,Empiric_Cyber,Security is everyones prob '@FBI / DHS #hack shows need for role-based #security awareness programs' #cybersecurity https://t.co/jiiQT8ESg5,,https://twitter.com/Empiric_Cyber/status/704977140953919488
2016-03-02 05:41:33+00:00,704904456278843392,SkolMali,Implications of the DHS Alert on the Ukrainian Hack to US electric grids and nuclear plants https://t.co/vDeUYcvO3U,http://ow.ly/3bXaSD,https://twitter.com/SkolMali/status/704904456278843392
2016-03-01 20:47:52+00:00,704770152093581313,timgrieveson,FBI/DHS hack shows need for role-based security awareness programs | CIO https://t.co/189ChTVbx7 https://t.co/yjEKNlIKHy,http://bit.ly/1QJzyBz,https://twitter.com/timgrieveson/status/704770152093581313
2016-03-01 20:47:39+00:00,704770093939630080,timgrieveson,FBI/DHS hack shows need for role-based security awareness programs | CIO https://t.co/mvyTop1JIK https://t.co/xSo1a2npFx,http://bit.ly/1QJzvFP,https://twitter.com/timgrieveson/status/704770093939630080
