Datetime,Tweet ID,Username,Text,Links,URL
2015-09-04 15:15:23+00:00,639819049933910016,CI_Daily,#CYBER #COLD #WAR #Russia strongly suspected in #Pentagon #hack #attack http://t.co/iTRyUqEtvs,http://ow.ly/RNjOj,https://twitter.com/CI_Daily/status/639819049933910016
2015-09-04 13:09:27+00:00,639787356086644736,AboutMrFinch,Wanna hack the Pentagon?,,https://twitter.com/AboutMrFinch/status/639787356086644736
2015-09-04 06:52:29+00:00,639692489457188864,Anonymous_API,#Anonymous International suspected in hack of Pentagon computer network ;) http://t.co/X8gu4nW0bi,http://fb.me/1WSCQX3wL,https://twitter.com/Anonymous_API/status/639692489457188864
2015-09-04 00:10:40+00:00,639591369166618624,Lolmarissa_,when a guy tells you that trying to figure you out is almost like trying to hack into the pentagon 😂😂😂😂😂,,https://twitter.com/Lolmarissa_/status/639591369166618624
2015-09-04 00:07:01+00:00,639590454049177600,JeMappelleTupac,@VivaLaRenegat but can you hack the pentagon yet?,,https://twitter.com/JeMappelleTupac/status/639590454049177600
2015-09-03 23:12:06+00:00,639576631653310464,JAZZYONEMEL,@Mediaite And then what? Everybody's computer gets hacked. The Pentagon got hack. The IRS got hacked. Tell something worthy of news.,,https://twitter.com/JAZZYONEMEL/status/639576631653310464
2015-09-03 22:37:43+00:00,639567979189960704,gwauu,@DudewitdaK we could hack the pentagon and uncover all the files the Japanese gave them about their human dissections and bio weapons ;))),,https://twitter.com/gwauu/status/639567979189960704
2015-09-02 15:46:08+00:00,639102011061858304,Hallu_Monn,@marorins He can hack into the Pentagon！,,https://twitter.com/Hallu_Monn/status/639102011061858304
2015-09-02 15:15:31+00:00,639094309342552064,CI_Alliance,#CYBER #COLD #WAR #Russia strongly suspected in #Pentagon #hack #attack http://t.co/XBW9kGL4Jy,http://ow.ly/RGbc0,https://twitter.com/CI_Alliance/status/639094309342552064
2015-09-02 10:58:32+00:00,639029636211433473,hvyw8,"Military leaders warn US is falling behind in cybersecurity, big news was Pentagon hack of Joint Chiefs http://t.co/NDbVRSlS6p",http://washex.am/1FjopTE,https://twitter.com/hvyw8/status/639029636211433473
2015-09-02 09:27:13+00:00,639006657066827776,kadkins000,@washingtonpost All this focus on @HillaryClinton . Shouldnt we b more worried abt pentagon/irs hack from china/russia. how much data hacked,,https://twitter.com/kadkins000/status/639006657066827776
2015-09-02 05:20:29+00:00,638944561063194624,GFISoftware,"From @AshleyMadison to the #Pentagon, catch who made it into August's #Hack Hall of Shame http://t.co/59COlCOL8i",http://ow.ly/REvfA,https://twitter.com/GFISoftware/status/638944561063194624
2015-09-02 04:41:11+00:00,638934672358133761,CHRisNOBODY,You can hack into the pentagon or your exes email if you are playing Angel by Massive Attack during.,,https://twitter.com/CHRisNOBODY/status/638934672358133761
2015-09-01 22:15:07+00:00,638837516754227200,wjhenn,"So, anyway, the Pentagon handed out a $133,263,550 contract today to protect 21.5 million folks affected by OPM hack http://t.co/O8zieopLxi",,https://twitter.com/wjhenn/status/638837516754227200
