Datetime,Tweet ID,Username,Text,Links,URL
2014-12-04 17:20:09+00:00,540556174144569344,BradHines,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/lpBBD7dAl3,http://buff.ly/1EKYKEd,https://twitter.com/BradHines/status/540556174144569344
2014-12-02 02:14:10+00:00,539603400086679553,Gangsta_News,Cyberattack hit US weather service #NationalWeatherService #NOAA #NOAAServices http://t.co/uS007xnp3t,http://j.mp/1qF6uPV,https://twitter.com/Gangsta_News/status/539603400086679553
2014-11-28 20:00:57+00:00,538422311733702656,advcyberrisk,#NOAA confirms #cyberattack; China suspected. http://t.co/r0NIckY4II,http://bit.ly/1xHWnfG,https://twitter.com/advcyberrisk/status/538422311733702656
2014-11-22 16:15:05+00:00,536191145035182080,KenFeltman,US's NOAA says four of its websites were breached by Chinese hackers. #China #hackers #NOAA  #cyberattack @scoopit http://t.co/1grRHQSJGj,http://sco.lt/4mQK3N,https://twitter.com/KenFeltman/status/536191145035182080
2014-11-21 15:30:09+00:00,535817449526927360,SPCoulson,"NOAA confirms cyberattack on four weather sites

http://t.co/LJYb8XqeUT

#NOAA 
&lt;-- good place to drop malware for driveby !",http://www.computerworld.com/article/2846978/noaa-confirms-cyberattack-on-four-weather-sites.html,https://twitter.com/SPCoulson/status/535817449526927360
2014-11-21 00:00:12+00:00,535583419443322881,techgenius_guru,NOAA confirms cyberattack on four weather sites - http://t.co/cMfHZfdNRS,http://www.computerworld.com/article/2846978/noaa-confirms-cyberattack-on-four-weather-sites.html,https://twitter.com/techgenius_guru/status/535583419443322881
2014-11-20 20:31:14+00:00,535530831218233344,EsignIT,NOAA informs about four websites compromised by a #cyber #attack! http://t.co/UzBHwIjIUG,http://ow.ly/EpXmk,https://twitter.com/EsignIT/status/535530831218233344
2014-11-20 20:02:29+00:00,535523595829903361,ClerkePass,NOAA informs about four compromised websites from cyber attack! http://t.co/hXV3CVJm42 http://t.co/1ZF69kLxny,http://ow.ly/Eq9nt http://fb.me/6X6Y3RBvh,https://twitter.com/ClerkePass/status/535523595829903361
2014-11-20 17:35:18+00:00,535486557424463872,DeanEBuxton,"NOAA confirms cyberattack on four weather sites | - -NOAA Breach 
The US National Oceanic and Atmospheric Administration (NOAA) suffered...",,https://twitter.com/DeanEBuxton/status/535486557424463872
2014-11-19 19:59:07+00:00,535160359179407360,VRSKExtremEvent,"What were the effects of a recent #cyberattack on the @NOAA website? Scientist, @Scott_Stransky, puts this #InFocus http://t.co/ISiQpL9MAy",http://airww.co/1HbaIcD,https://twitter.com/VRSKExtremEvent/status/535160359179407360
2014-11-19 18:00:48+00:00,535130585157869568,Barry_A_Sears,"""NOAA weather data interruption due to alleged Chinese cyber attack""  http://t.co/BZ5zLvcpyb Worth a glance",http://bit.ly/1x5qr8B,https://twitter.com/Barry_A_Sears/status/535130585157869568
2014-11-18 06:03:33+00:00,534587697168650240,FantaGhost,"""NOAA weather data interruption due to alleged Chinese cyber attack"" http://t.co/Flah6TUGG2",http://arstechnica.com/security/2014/11/noaa-weather-data-interruption-due-to-alleged-chinese-cyber-attack/,https://twitter.com/FantaGhost/status/534587697168650240
2014-11-18 05:57:21+00:00,534586134429708288,n3t_security,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/B6gGya7lCG,http://arstechnica.com/security/2014/11/noaa-weather-data-interruption-due-to-alleged-chinese-cyber-attack/,https://twitter.com/n3t_security/status/534586134429708288
2014-11-18 01:00:35+00:00,534511451575427074,netsecu,"NOAA websites fall victim to cyberattack | http://t.co/7407OZLRy6, http://t.co/ojAJgcYF2j #security",http://SecurityInfoWatch.com http://www.netsecu.org/i/07e554ff5,https://twitter.com/netsecu/status/534511451575427074
2014-11-17 20:19:58+00:00,534440833328877570,t_hom_as,RT @arstechnica NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/cz6VccDogL &gt;&gt; disconnect China..simple.,http://ars.to/1EEJQgX,https://twitter.com/t_hom_as/status/534440833328877570
2014-11-17 18:18:10+00:00,534410178485968896,SecurityStacey,NOAA confirms cyberattack on four weather sites http://t.co/l2whw5hBl5,http://lnkd.in/bgHS2tm,https://twitter.com/SecurityStacey/status/534410178485968896
2014-11-17 17:10:13+00:00,534393082163126272,DAXPressMedia,NOAA weather data interruption due to alleged Chinese #CyberAttack  http://t.co/lpypFVffni,http://buff.ly/1x43KSj,https://twitter.com/DAXPressMedia/status/534393082163126272
2014-11-17 15:50:46+00:00,534373086494470144,n3t_security,NOAA confirms cyber attack; China suspected http://t.co/pdKHuslJqu,http://www.cyberrisknetwork.com/2014/11/17/noaa-confirms-cyber-attack-china-suspected/,https://twitter.com/n3t_security/status/534373086494470144
2014-11-17 15:33:48+00:00,534368817443373056,MrPyrometer,New post: NOAA Admits to Cyberattack on Satellite Data Networks http://t.co/S3hTBaTnI2,http://www.measurementdb.com/noaa-admits-to-cyberattack-on-satellite-data-networks/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter,https://twitter.com/MrPyrometer/status/534368817443373056
2014-11-17 14:43:30+00:00,534356155930521600,ModernMarion,"""NOAA weather data interruption due to alleged Chinese cyber attack"" Sean Gallagher: http://t.co/vHvxodXD4H #security #hacking",http://arstechnica.com/security/2014/11/noaa-weather-data-interruption-due-to-alleged-chinese-cyber-attack,https://twitter.com/ModernMarion/status/534356155930521600
2014-11-17 13:46:39+00:00,534341850220331008,Rob_Reiter,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/jRcGBBIM84,http://lnkd.in/b8KPQbE,https://twitter.com/Rob_Reiter/status/534341850220331008
2014-11-17 12:50:04+00:00,534327611124879362,pandora_labs,NOAA weather data interruption due to alleged Chinese cyber attack: http://t.co/aDP7B4rVJq via @thepacketrat @arstechnica,http://ars.to/1EEJQgX,https://twitter.com/pandora_labs/status/534327611124879362
2014-11-17 06:34:10+00:00,534233014293647360,NiuB,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/t4dzBrUa4w,http://bit.ly/1EPwONL,https://twitter.com/NiuB/status/534233014293647360
2014-11-17 06:25:43+00:00,534230885823160320,ruimtevaart,RT @ChinaInSpace: NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/2KXXCYPoaB,http://arstechnica.com/security/2014/11/noaa-weather-data-interruption-due-to-alleged-chinese-cyber-attack/,https://twitter.com/ruimtevaart/status/534230885823160320
2014-11-17 06:25:40+00:00,534230874381107200,ruimtevaart,RT @ChinaInSpace: NOAA Admits to Cyberattack On Satellite Data Networks http://t.co/nNeGodOJ04,http://www.spacenews.com/article/civil-space/42561noaa-admits-to-cyberattack-on-satellite-data-networks,https://twitter.com/ruimtevaart/status/534230874381107200
2014-11-17 02:37:44+00:00,534173514199478273,cparente,RT @Computerworld: #NOAA confirms cyberattack on four weather sites @GrantGross http://t.co/jGv9xMq3Bc,http://www.computerworld.com/article/2846978/noaa-confirms-cyberattack-on-four-weather-sites.html,https://twitter.com/cparente/status/534173514199478273
2014-11-17 02:30:34+00:00,534171710699110400,PCNSciTech,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/M5Pu149Sul,http://bit.ly/1wLfjK9,https://twitter.com/PCNSciTech/status/534171710699110400
2014-11-17 02:26:18+00:00,534170636122607617,bjverzal,“@Computerworld: #NOAA confirms cyberattack on four weather sites @GrantGross http://t.co/160LgNmDCi”,http://www.computerworld.com/article/2846978/noaa-confirms-cyberattack-on-four-weather-sites.html,https://twitter.com/bjverzal/status/534170636122607617
2014-11-17 02:26:04+00:00,534170575007019008,Computerworld,#NOAA confirms cyberattack on four weather sites @GrantGross http://t.co/VaGZiw8rcn,http://www.computerworld.com/article/2846978/noaa-confirms-cyberattack-on-four-weather-sites.html,https://twitter.com/Computerworld/status/534170575007019008
2014-11-16 21:54:29+00:00,534102230115573760,ChinaInSpace,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/bqbFHOwlxK,http://arstechnica.com/security/2014/11/noaa-weather-data-interruption-due-to-alleged-chinese-cyber-attack/,https://twitter.com/ChinaInSpace/status/534102230115573760
2014-11-16 21:53:59+00:00,534102106006114304,ChinaInSpace,NOAA Admits to Cyberattack On Satellite Data Networks http://t.co/0rclJPfKFf,http://www.spacenews.com/article/civil-space/42561noaa-admits-to-cyberattack-on-satellite-data-networks,https://twitter.com/ChinaInSpace/status/534102106006114304
2014-11-16 15:00:32+00:00,533998057529278465,CAM2Go,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/V8aVYvP0ex,http://buff.ly/1wzNtjW,https://twitter.com/CAM2Go/status/533998057529278465
2014-11-16 14:16:24+00:00,533986951867928577,AWRreporter,NOAA Admits to Cyberattack on Satellite Data Networks | http://t.co/uZ1ctKhK4S http://t.co/8ce7XWASym,http://SpaceNews.com http://fb.me/6TE54Hc1R,https://twitter.com/AWRreporter/status/533986951867928577
2014-11-16 10:28:30+00:00,533929597776064512,Gangsta_News,"NOAA Confirms Cyberattack 'in Recent Weeks'   http://t.co/No1SMJVQPR
  #domesticmainstreamnews",http://j.mp/11exdfq,https://twitter.com/Gangsta_News/status/533929597776064512
2014-11-16 03:17:02+00:00,533821016548466688,tracegilton,NOAA Admits to Cyberattack on Satellite Data Networks - http://t.co/XfT8gtggON,http://www.spacenews.com/article/civil-space/42561noaa-admits-to-cyberattack-on-satellite-data-networks,https://twitter.com/tracegilton/status/533821016548466688
2014-11-15 19:17:17+00:00,533700281507127296,christiaan008,News: NOAA weather data interruption due to alleged Chinese cyber attack (EN) | http://t.co/So6u9JbEPf http://t.co/JUV6h6g5N4,http://arstechnica.com http://bit.ly/1vhtDPb,https://twitter.com/christiaan008/status/533700281507127296
2014-11-15 18:18:44+00:00,533685546946547712,Truthbuster,America's Weather Forecasting System NOAA Is Under Cyberattack http://t.co/9pftUDNY7J via @PopMech #p2 #uniteblue,http://www.popularmechanics.com/technology/how-to/computer-security/americas-weather-forecasting-system-is-under-attack-17422862,https://twitter.com/Truthbuster/status/533685546946547712
2014-11-15 15:45:19+00:00,533646940303806464,Ken_Rosen,RT @Jaraxal: NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/jgu2RMKy4q,http://ars.to/1EEJQgX,https://twitter.com/Ken_Rosen/status/533646940303806464
2014-11-15 13:14:01+00:00,533608861505421312,bceverly,"NOAA weather data interruption due to alleged Chinese cyber attack | Ars Technica http://t.co/hL5E7bhoDV

- That's a little scary...",http://bit.ly/1qIRPmZ,https://twitter.com/bceverly/status/533608861505421312
2014-11-15 11:38:36+00:00,533584850503368704,cyberparse,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/bPXJTBm4lu #CyberAttack,http://is.gd/XopZ2h,https://twitter.com/cyberparse/status/533584850503368704
2014-11-15 08:04:56+00:00,533531077684391936,Crilin98,NOAA confirms cyberattack on four weather sites - http://t.co/GaG1qjSLa1,http://www.computerworld.com/article/2846978/noaa-confirms-cyberattack-on-four-weather-sites.html,https://twitter.com/Crilin98/status/533531077684391936
2014-11-15 05:03:28+00:00,533485412107710464,Sec_Cyber,NOAA Admits to #cyberattack On Satellite Data Networks http://t.co/2n5yiaBKkh,http://bit.ly/1q1YRIx,https://twitter.com/Sec_Cyber/status/533485412107710464
2014-11-15 05:00:15+00:00,533484603798212608,TechnologyDems,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/LKpBxi7Kwu,http://buff.ly/1wzNt3A,https://twitter.com/TechnologyDems/status/533484603798212608
2014-11-15 04:57:11+00:00,533483829638725632,15MinuteNewsTec,NOAA Admits to Cyberattack on Satellite Data Networks http://t.co/HD4cFBe6Tg #Space,http://www.15minutenews.com/article/47527311/noaa-admits-to-cyberattack-on-satellite-data-networks/,https://twitter.com/15MinuteNewsTec/status/533483829638725632
2014-11-15 03:10:11+00:00,533456905121714176,siva_gauthamann,NOAA Confirms Cyberattack in Recent Weeks:http://t.co/TFxCATBaRl,http://goo.gl/JUY6G0,https://twitter.com/siva_gauthamann/status/533456905121714176
2014-11-15 02:38:29+00:00,533448927295836162,Moncholab,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/1d59l4faWy #apple #tech,http://weeder.org/rLH23WC,https://twitter.com/Moncholab/status/533448927295836162
2014-11-15 01:58:39+00:00,533438899326947328,SeattleWebGFX,NOAA Admits to Cyberattack on Satellite Data Networks http://t.co/c8G3pjmqPU http://t.co/XOsYLuYwan,http://dlvr.it/7Wqb9h,https://twitter.com/SeattleWebGFX/status/533438899326947328
2014-11-15 01:43:06+00:00,533434988327227392,UNHcFREG,NOAA Confirms Cyberattack 'in Recent Weeks' http://t.co/Qt9am1nEoA via @NBCNews,http://nbcnews.to/1udGbpc,https://twitter.com/UNHcFREG/status/533434988327227392
2014-11-15 01:25:04+00:00,533430447640817665,eumonserrate,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/Sw7BVSefUf,http://ars.to/1EEJQgX,https://twitter.com/eumonserrate/status/533430447640817665
2014-11-15 01:12:01+00:00,533427164981772288,EffStopp,“@arstechnica: #NOAA #weather #data #interruption due to alleged #Chinese #cyber #attack http://t.co/WlGDrd6MKC”  #security #hack @SGgrc,http://ars.to/1EEJQgX,https://twitter.com/EffStopp/status/533427164981772288
2014-11-15 00:40:48+00:00,533419310727700482,WeatherInThePeg,October NOAA weather data interruption due to alleged Chinese cyber attack: http://t.co/PdxDGBH8Zw,http://arstechnica.com/security/2014/11/noaa-weather-data-interruption-due-to-alleged-chinese-cyber-attack/#p3,https://twitter.com/WeatherInThePeg/status/533419310727700482
2014-11-15 00:38:41+00:00,533418775387701248,Jaraxal,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/u1GbtXF5y8,http://ars.to/1EEJQgX,https://twitter.com/Jaraxal/status/533418775387701248
2014-11-15 00:34:54+00:00,533417822849085440,shawnershad,Four @NOAA websites compromised by an internet-sourced attack | http://t.co/5UmKfPGcxb #CyberSecurity #CyberBreach #CyberAttack,http://ow.ly/Ej3an,https://twitter.com/shawnershad/status/533417822849085440
2014-11-14 23:55:09+00:00,533407821510242305,genemarks,NOAA Confirms Cyberattack 'in Recent Weeks' http://t.co/Qp4VPJaUAy via @NBCNews,http://nbcnews.to/1udGbpc,https://twitter.com/genemarks/status/533407821510242305
2014-11-14 23:38:49+00:00,533403711117078529,Hfuhs,NOAA weather data interruption due to alleged Chinese cyber attack - http://t.co/awdCviwlAy,http://fuhs.eu/ju9,https://twitter.com/Hfuhs/status/533403711117078529
2014-11-14 22:55:37+00:00,533392839120392192,ChiefPoints,#NOAA weather data interruption due to alleged #Chinese #CyberAttack | http://t.co/vwZueW715C #IT #Tech #InfoSec #Security #China,http://arstechnica.com/security/2014/11/noaa-weather-data-interruption-due-to-alleged-chinese-cyber-attack/,https://twitter.com/ChiefPoints/status/533392839120392192
2014-11-14 22:36:31+00:00,533388033660551169,AstroNewsLive,SPACE NEWS: NOAA Admits to Cyberattack on Satellite Data Networks  via http://t.co/Kmf5F6SqLz #spacenews #space,http://ift.tt/1wAH6Nd,https://twitter.com/AstroNewsLive/status/533388033660551169
2014-11-14 22:33:01+00:00,533387151053176833,SpaceNews_Inc,.@NOAA Admits to Cyberattack on Satellite Data Networks http://t.co/bjUMkuqUFW http://t.co/DKfXW1LkQX,http://buff.ly/1vakvfT,https://twitter.com/SpaceNews_Inc/status/533387151053176833
2014-11-14 22:31:55+00:00,533386873717002240,machpac,NOAA Admits to Cyberattack On Satellite Data Networks http://t.co/YPOghbzu1e,http://dlvr.it/7Wm7Hl,https://twitter.com/machpac/status/533386873717002240
2014-11-14 22:23:13+00:00,533384687423459328,tjcpigpen,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/dYxkmuRFw8,http://ars.to/1EEJQgX,https://twitter.com/tjcpigpen/status/533384687423459328
2014-11-14 22:16:03+00:00,533382880366710785,RAF2attac,"#NOAA weather data interruption due to alleged Chinese cyber attack, what else ;) .. http://t.co/pilHIxDhjX",http://pulse.me/s/35LXVH,https://twitter.com/RAF2attac/status/533382880366710785
2014-11-14 21:49:58+00:00,533376319296270339,HadesCyber,NOAA weather data interruption due to alleged Chinese cyber attack - http://t.co/u0SFYBNey8 #GoogleAlerts,http://goo.gl/alerts/BkdS,https://twitter.com/HadesCyber/status/533376319296270339
2014-11-14 21:36:34+00:00,533372946514214913,yescomputers,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/hF7q57mQxq,http://bit.ly/1vadGuD,https://twitter.com/yescomputers/status/533372946514214913
2014-11-14 21:26:12+00:00,533370338877657088,WBA_rwd,NOAA weather data interruption due to alleged Chinese cyber attack: NOAA shut down access to systems but faile.. http://t.co/nvfaH4a8js,http://bit.ly/1GXLIFD,https://twitter.com/WBA_rwd/status/533370338877657088
2014-11-14 21:26:10+00:00,533370329058770944,WBAStore,NOAA weather data interruption due to alleged Chinese cyber attack: NOAA shut down access to systems but faile.. http://t.co/PkKqq7rdYD,http://bit.ly/1GXLIFD,https://twitter.com/WBAStore/status/533370329058770944
2014-11-14 21:26:10+00:00,533370326659657728,SBBeacon,NOAA weather data interruption due to alleged Chinese cyber attack: NOAA shut down access to systems but faile.. http://t.co/riALHXOjM4,http://bit.ly/1GXLIFD,https://twitter.com/SBBeacon/status/533370326659657728
2014-11-14 21:26:06+00:00,533370311685967873,brokeragentfind,NOAA weather data interruption due to alleged Chinese cyber attack: NOAA shut down access to systems but faile.. http://t.co/Tb43FZD8ex,http://bit.ly/1GXLIFD,https://twitter.com/brokeragentfind/status/533370311685967873
2014-11-14 20:55:36+00:00,533362637841502208,CARDIFFpcRESCUE,NOAA weather data interruption due to alleged Chinese cyber attack http://t.co/68QpUFeJan,http://wp.me/p41EXf-5z3,https://twitter.com/CARDIFFpcRESCUE/status/533362637841502208
2014-11-14 20:50:39+00:00,533361390480670720,Cytegic,"#cybersecurity 
#NOAA weather data interruption due to alleged Chinese cyber attack
http://t.co/nXkuefyqUz",http://arstechnica.com/security/2014/11/noaa-weather-data-interruption-due-to-alleged-chinese-cyber-attack/,https://twitter.com/Cytegic/status/533361390480670720
