Datetime,Tweet ID,Username,Text,Links,URL
2017-01-12 22:20:02+00:00,819670298828095491,LydiaSnider,"Lol! Rudi Gulliani in charge of cyber security!

Would someone please go hack his yahoo email account?",,https://twitter.com/LydiaSnider/status/819670298828095491
2017-01-11 14:08:38+00:00,819184244006207488,MCM_Technology,"Published a new blog entry The Yahoo Hack, largest in cyber history in COMPANYNAME Blog. https://t.co/vXFSsIaQum",http://www.kramerconsulting.com/blog/entry/the-yahoo-hack.html,https://twitter.com/MCM_Technology/status/819184244006207488
2017-01-09 12:17:14+00:00,818431436495654913,awajid673,Yahoo hack: Is it the worst cyber attack in history? https://t.co/FItnIpa1GQ https://t.co/6pTebm1cW8,http://ltn2016.tk/2017/01/yahoo-hack-is-it-the-worst-cyber-attack-in-history/,https://twitter.com/awajid673/status/818431436495654913
2017-01-08 23:18:36+00:00,818235484396732416,StealthStocks,"Cyber Security ETFs in Focus After Yahoo Hack Report
https://t.co/ppXTNhz02c",http://www.nasdaq.com/article/cyber-security-etfs-in-focus-after-yahoo-hack-report-cm725343,https://twitter.com/StealthStocks/status/818235484396732416
2017-01-07 22:44:09+00:00,817864429857599488,gonzadan,"Verizon executive says company unsure about Yahoo deal, #cyber hack investigation not finished yet https://t.co/PrnnueuJkf",http://www.reuters.com/article/idUSKBN14P215,https://twitter.com/gonzadan/status/817864429857599488
2017-01-07 16:02:52+00:00,817763441972654080,pfnet62,Cyber Security ETFs in Focus After Yahoo Hack Report https://t.co/qJGdPSAc5a via @YahooFinance,http://finance.yahoo.com/news/cyber-security-etfs-focus-yahoo-183306370.html?soc_src=social-sh&soc_trk=tw,https://twitter.com/pfnet62/status/817763441972654080
2017-01-06 23:22:26+00:00,817511673363886081,Roger_Clinton1,Cyber Security ETFs in Focus After Yahoo Hack Report https://t.co/xI1EjhRXVm,http://finance.yahoo.com/news/cyber-security-etfs-focus-yahoo-183306370.html,https://twitter.com/Roger_Clinton1/status/817511673363886081
2017-01-06 11:30:37+00:00,817332539866095620,pirantech,Yahoo cyber attack: More than one billion user accounts targeted in hack via@SkyNews https://t.co/ZryoDL4fFb https://t.co/kKtdK1tznE,http://bit.ly/2hHM4Yt,https://twitter.com/pirantech/status/817332539866095620
2017-01-06 08:49:14+00:00,817291925283864576,MemphizMoreman,#Yahoo worrying about the navy needs to be worrying about they cyber security way they keep getting hack,,https://twitter.com/MemphizMoreman/status/817291925283864576
2017-01-06 00:12:08+00:00,817161792308670464,sobeit22,@RealJamesWoods @FoxNews let's not forget 💩for brains were using Yahoo accounts! Biggest hack in cyber history ‼,,https://twitter.com/sobeit22/status/817161792308670464
